Date,Time,Ranger ID,Latitude,Longitude,Activity Type,Category
11/1/2023,8:30:00 AM,R001,40.123456,-75.789012,Human Activity,Camp
11/2/2023,10:45:00 AM,R002,39.987654,-75.56789,Wildlife,Direct Observation
11/3/2023,2:15:00 PM,R003,40.234567,-75.901234,Natural Features,Salt Lick
11/4/2023,11:20:00 AM,R001,40.345678,-75.678901,Human Activity,Transportation
11/5/2023,9:00:00 AM,R002,39.876543,-75.123456,Natural Features,Fruit Tree
11/6/2023,3:30:00 PM,R003,40.098765,-75.456789,Human Activity,Fire
11/7/2023,12:15:00 PM,R001,40.56789,-75.789012,Wildlife,Indirect Sign
11/8/2023,7:40:00 AM,R002,39.654321,-75.345678,Human Activity,Domestic Animals
11/9/2023,10:00:00 AM,R003,40.456789,-75.901234,Natural Features,Salt Lick
11/10/2023,4:50:00 PM,R001,39.987654,-75.678901,Wildlife,Trophy
11/11/2023,1:25:00 PM,R002,40.234567,-75.456789,Human Activity,Camp
11/12/2023,9:30:00 AM,R003,39.876543,-75.123456,Natural Features,Fruit Tree
11/13/2023,3:10:00 PM,R001,40.345678,-75.789012,Human Activity,Gear
11/14/2023,11:55:00 AM,R002,39.654321,-75.56789,Wildlife,Direct Observation
11/15/2023,8:20:00 AM,R003,40.123456,-75.901234,Natural Features,Salt Lick
11/16/2023,8:30:00 AM,R001,40.111111,-75.777777,Human Activity,Camp
11/17/2023,10:45:00 AM,R002,39.999999,-75.555555,Wildlife,Indirect Sign
11/18/2023,2:15:00 PM,R003,40.222222,-75.888888,Natural Features,Water Hole
11/19/2023,11:20:00 AM,R001,40.333333,-75.666666,Human Activity,Fire
11/20/2023,9:00:00 AM,R002,39.888888,-75.111111,Natural Features,Salt Lick
11/21/2023,3:30:00 PM,R003,40,-75.444444,Human Activity,Transportation
11/22/2023,12:15:00 PM,R001,40.555555,-75.777777,Wildlife,Direct Observation
11/23/2023,7:40:00 AM,R002,39.666666,-75.333333,Human Activity,Domestic Animals
11/24/2023,10:00:00 AM,R003,40.444444,-75.888888,Natural Features,Fruit Tree
11/25/2023,4:50:00 PM,R001,39.999999,-75.666666,Wildlife,Carcass
11/26/2023,1:25:00 PM,R002,40.222222,-75.444444,Human Activity,Camp
11/27/2023,9:30:00 AM,R003,39.888888,-75.111111,Natural Features,Water Hole
11/28/2023,3:10:00 PM,R001,40.333333,-75.777777,Human Activity,Gear
11/29/2023,11:55:00 AM,R002,39.666666,-75.555555,Wildlife,Trophy
11/30/2023,8:20:00 AM,R003,40.111111,-75.888888,Natural Features,Salt Lick
12/1/2023,8:30:00 AM,R001,40.123456,-75.789012,Human Activity,Gear
12/2/2023,10:45:00 AM,R002,39.987654,-75.56789,Wildlife,Bushmeat
12/3/2023,2:15:00 PM,R003,40.234567,-75.901234,Natural Features,Fruit Tree
12/4/2023,11:20:00 AM,R001,40.345678,-75.678901,Human Activity,Camp
12/5/2023,9:00:00 AM,R002,39.876543,-75.123456,Natural Features,Salt Lick
12/6/2023,3:30:00 PM,R003,40.098765,-75.456789,Human Activity,Fire
12/7/2023,12:15:00 PM,R001,40.56789,-75.789012,Wildlife,Indirect Sign
12/8/2023,7:40:00 AM,R002,39.654321,-75.345678,Human Activity,Transportation
12/9/2023,10:00:00 AM,R003,40.456789,-75.901234,Natural Features,Water Hole
12/10/2023,4:50:00 PM,R001,39.987654,-75.678901,Wildlife,Trophy
12/11/2023,1:25:00 PM,R002,40.234567,-75.456789,Human Activity,Camp
12/12/2023,9:30:00 AM,R003,39.876543,-75.123456,Natural Features,Fruit Tree
12/13/2023,3:10:00 PM,R001,40.345678,-75.789012,Human Activity,Domestic Animals
12/14/2023,11:55:00 AM,R002,39.654321,-75.56789,Wildlife,Direct Observation
12/15/2023,8:20:00 AM,R003,40.123456,-75.901234,Natural Features,Salt Lick
12/16/2023,8:30:00 AM,R001,40.111111,-75.777777,Human Activity,Camp
12/17/2023,10:45:00 AM,R002,39.999999,-75.555555,Wildlife,Indirect Sign
12/18/2023,2:15:00 PM,R003,40.222222,-75.888888,Natural Features,Water Hole
12/19/2023,11:20:00 AM,R001,40.333333,-75.666666,Human Activity,Fire
12/20/2023,9:00:00 AM,R002,39.888888,-75.111111,Natural Features,Salt Lick
12/21/2023,3:30:00 PM,R003,40,-75.444444,Human Activity,Transportation
12/22/2023,12:15:00 PM,R001,40.555555,-75.777777,Wildlife,Direct Observation
12/23/2023,7:40:00 AM,R002,39.666666,-75.333333,Human Activity,Domestic Animals
12/24/2023,10:00:00 AM,R003,40.444444,-75.888888,Natural Features,Fruit Tree
12/25/2023,4:50:00 PM,R001,39.999999,-75.666666,Wildlife,Carcass
12/26/2023,1:25:00 PM,R002,40.222222,-75.444444,Human Activity,Camp
12/27/2023,9:30:00 AM,R003,39.888888,-75.111111,Natural Features,Water Hole
12/28/2023,3:10:00 PM,R001,40.333333,-75.777777,Human Activity,Gear
12/29/2023,11:55:00 AM,R002,39.666666,-75.555555,Wildlife,Trophy
12/30/2023,8:20:00 AM,R003,40.111111,-75.888888,Natural Features,Salt Lick
12/31/2023,8:30:00 AM,R001,40.123456,-75.789012,Human Activity,Gear
1/1/2024,10:45:00 AM,R002,39.987654,-75.56789,Wildlife,Bushmeat
1/2/2024,2:15:00 PM,R003,40.234567,-75.901234,Natural Features,Fruit Tree
1/3/2024,11:20:00 AM,R001,40.345678,-75.678901,Human Activity,Camp
1/4/2024,9:00:00 AM,R002,39.876543,-75.123456,Natural Features,Salt Lick
1/5/2024,3:30:00 PM,R003,40.098765,-75.456789,Human Activity,Fire
1/6/2024,12:15:00 PM,R001,40.56789,-75.789012,Wildlife,Indirect Sign
1/7/2024,7:40:00 AM,R002,39.654321,-75.345678,Human Activity,Transportation
1/8/2024,10:00:00 AM,R003,40.456789,-75.901234,Natural Features,Water Hole
1/9/2024,4:50:00 PM,R001,39.987654,-75.678901,Wildlife,Trophy
1/10/2024,1:25:00 PM,R002,40.234567,-75.456789,Human Activity,Camp
1/11/2024,9:30:00 AM,R003,39.876543,-75.123456,Natural Features,Fruit Tree
1/12/2024,3:10:00 PM,R001,40.345678,-75.789012,Human Activity,Domestic Animals
1/13/2024,11:55:00 AM,R002,39.654321,-75.56789,Wildlife,Direct Observation
1/14/2024,8:20:00 AM,R003,40.123456,-75.901234,Natural Features,Salt Lick
1/15/2024,8:30:00 AM,R001,40.111111,-75.777777,Human Activity,Camp
1/16/2024,10:45:00 AM,R002,39.999999,-75.555555,Wildlife,Indirect Sign
1/17/2024,2:15:00 PM,R003,40.222222,-75.888888,Natural Features,Water Hole
1/18/2024,11:20:00 AM,R001,40.333333,-75.666666,Human Activity,Fire
1/19/2024,9:00:00 AM,R002,39.888888,-75.111111,Natural Features,Salt Lick
1/20/2024,3:30:00 PM,R003,40,-75.444444,Human Activity,Transportation
1/21/2024,12:15:00 PM,R001,40.555555,-75.777777,Wildlife,Direct Observation
1/22/2024,7:40:00 AM,R002,39.666666,-75.333333,Human Activity,Domestic Animals
1/23/2024,10:00:00 AM,R003,40.444444,-75.888888,Natural Features,Fruit Tree
1/24/2024,4:50:00 PM,R001,39.999999,-75.666666,Wildlife,Carcass
1/25/2024,1:25:00 PM,R002,40.222222,-75.444444,Human Activity,Camp
1/26/2024,9:30:00 AM,R003,39.888888,-75.111111,Natural Features,Water Hole
1/27/2024,3:10:00 PM,R001,40.333333,-75.777777,Human Activity,Gear
1/28/2024,11:55:00 AM,R002,39.666666,-75.555555,Wildlife,Trophy
1/29/2024,8:20:00 AM,R003,40.111111,-75.888888,Natural Features,Salt Lick
1/30/2024,8:30:00 AM,R001,40.123456,-75.789012,Human Activity,Gear
2/1/2024,10:45:00 AM,R002,39.987654,-75.56789,Wildlife,Bushmeat
2/2/2024,2:15:00 PM,R003,40.234567,-75.901234,Natural Features,Fruit Tree
2/3/2024,11:20:00 AM,R001,40.345678,-75.678901,Human Activity,Camp
2/4/2024,9:00:00 AM,R002,39.876543,-75.123456,Natural Features,Salt Lick
2/5/2024,3:30:00 PM,R003,40.098765,-75.456789,Human Activity,Fire
2/6/2024,12:15:00 PM,R001,40.56789,-75.789012,Wildlife,Indirect Sign
2/7/2024,7:40:00 AM,R002,39.654321,-75.345678,Human Activity,Transportation
2/8/2024,10:00:00 AM,R003,40.456789,-75.901234,Natural Features,Water Hole
2/9/2024,4:50:00 PM,R001,39.987654,-75.678901,Wildlife,Trophy
2/10/2024,1:25:00 PM,R002,40.234567,-75.456789,Human Activity,Camp
2/11/2024,9:30:00 AM,R003,39.876543,-75.123456,Natural Features,Fruit Tree
2/12/2024,3:10:00 PM,R001,40.345678,-75.789012,Human Activity,Domestic Animals
2/13/2024,11:55:00 AM,R002,39.654321,-75.56789,Wildlife,Direct Observation
2/14/2024,8:20:00 AM,R003,40.123456,-75.901234,Natural Features,Salt Lick
2/15/2024,8:30:00 AM,R001,40.111111,-75.777777,Human Activity,Camp
2/16/2024,10:45:00 AM,R002,39.999999,-75.555555,Wildlife,Indirect Sign
2/17/2024,2:15:00 PM,R003,40.222222,-75.888888,Natural Features,Water Hole
2/18/2024,11:20:00 AM,R001,40.333333,-75.666666,Human Activity,Fire
2/19/2024,9:00:00 AM,R002,39.888888,-75.111111,Natural Features,Salt Lick
2/20/2024,3:30:00 PM,R003,40,-75.444444,Human Activity,Transportation
2/21/2024,12:15:00 PM,R001,40.555555,-75.777777,Wildlife,Direct Observation
2/22/2024,7:40:00 AM,R002,39.666666,-75.333333,Human Activity,Domestic Animals
2/23/2024,10:00:00 AM,R003,40.444444,-75.888888,Natural Features,Fruit Tree
2/24/2024,4:50:00 PM,R001,39.999999,-75.666666,Wildlife,Carcass
2/25/2024,1:25:00 PM,R002,40.222222,-75.444444,Human Activity,Camp
2/26/2024,9:30:00 AM,R003,39.888888,-75.111111,Natural Features,Water Hole
2/27/2024,3:10:00 PM,R001,40.333333,-75.777777,Human Activity,Gear
2/28/2024,11:55:00 AM,R002,39.666666,-75.555555,Wildlife,Trophy
11/1/2023,08:30AM,R001,-76.987123,40.123456,Human Activity,Direct Observation
11/1/2023,09:45AM,R002,-76.975432,40.135791,Wildlife,Direct Observation
11/1/2023,10:15AM,R003,-76.989765,40.121234,Natural Features,Salt Lick
11/1/2023,11:30AM,R004,-76.987654,40.134567,Human Activity,Camp
11/1/2023,12:45PM,R001,-76.976789,40.123789,Wildlife,Trophy
11/1/2023,02:00PM,R002,-76.988123,40.129012,Human Activity,Transportation
11/1/2023,03:15PM,R003,-76.972345,40.139876,Wildlife,Indirect Sign
11/2/2023,08:30AM,R004,-76.985432,40.120123,Human Activity,Gear
11/2/2023,09:45AM,R001,-76.979876,40.136789,Wildlife,Carcass
11/2/2023,10:15AM,R002,-76.984567,40.130123,Natural Features,Water Hole
11/2/2023,11:30AM,R003,-76.977654,40.128765,Human Activity,Domestic Animals
11/2/2023,12:45PM,R004,-76.980123,40.138234,Wildlife,Bushmeat
11/2/2023,02:00PM,R001,-76.975678,40.125678,Human Activity,Fire
11/2/2023,03:15PM,R002,-76.983456,40.129876,Natural Features,Fruit or Nut Tree
11/1/2023,08:30AM,R001,-76.987123,40.123456,Human Activity,Direct Observation
11/1/2023,09:45AM,R002,-76.975432,40.135791,Wildlife,Direct Observation
11/1/2023,10:15AM,R003,-76.989765,40.121234,Natural Features,Salt Lick
11/1/2023,11:30AM,R004,-76.987654,40.134567,Human Activity,Camp
11/1/2023,12:45PM,R001,-76.976789,40.123789,Wildlife,Trophy
11/1/2023,02:00PM,R002,-76.988123,40.129012,Human Activity,Transportation
11/1/2023,03:15PM,R003,-76.972345,40.139876,Wildlife,Indirect Sign
11/2/2023,08:30AM,R004,-76.985432,40.120123,Human Activity,Gear
11/2/2023,09:45AM,R001,-76.979876,40.136789,Wildlife,Carcass
11/2/2023,10:15AM,R002,-76.984567,40.130123,Natural Features,Water Hole
11/2/2023,11:30AM,R003,-76.977654,40.128765,Human Activity,Domestic Animals
11/2/2023,12:45PM,R004,-76.980123,40.138234,Wildlife,Bushmeat
11/2/2023,02:00PM,R001,-76.975678,40.125678,Human Activity,Fire
11/2/2023,03:15PM,R002,-76.983456,40.129876,Natural Features,Fruit or Nut Tree
11/3/2023,08:30AM,R003,-76.978123,40.123789,Human Activity,Direct Observation
11/3/2023,09:45AM,R004,-76.973456,40.137123,Wildlife,Trophy
11/3/2023,10:15AM,R001,-76.988765,40.131234,Natural Features,Salt Lick
11/3/2023,11:30AM,R002,-76.974567,40.133456,Human Activity,Camp
11/3/2023,12:45PM,R003,-76.986789,40.124567,Wildlife,Carcass
11/3/2023,02:00PM,R004,-76.971234,40.138901,Human Activity,Transportation
11/3/2023,03:15PM,R001,-76.975678,40.12789,Wildlife,Indirect Sign
11/4/2023,08:30AM,R002,-76.987654,40.122345,Human Activity,Gear
11/4/2023,09:45AM,R003,-76.979012,40.135678,Wildlife,Bushmeat
11/4/2023,10:15AM,R004,-76.980123,40.131234,Natural Features,Water Hole
11/4/2023,11:30AM,R001,-76.976543,40.139012,Human Activity,Domestic Animals
11/4/2023,12:45PM,R002,-76.988901,40.128901,Wildlife,Trophy
11/4/2023,02:00PM,R003,-76.975432,40.125678,Human Activity,Fire
11/4/2023,03:15PM,R004,-76.972345,40.134567,Natural Features,Fruit or Nut Tree
11/5/2023,08:30AM,R001,-76.989765,40.120123,Human Activity,Camp
11/5/2023,09:45AM,R002,-76.986789,40.130123,Wildlife,Direct Observation
11/5/2023,10:15AM,R003,-76.987654,40.133456,Natural Features,Salt Lick
11/5/2023,11:30AM,R004,-76.979876,40.12789,Human Activity,Transportation
11/5/2023,12:45PM,R001,-76.975678,40.124567,Wildlife,Indirect Sign
11/5/2023,02:00PM,R002,-76.978123,40.125678,Human Activity,Gear
11/5/2023,03:15PM,R003,-76.981234,40.129012,Wildlife,Carcass
